Analysis,GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,ISBN,URL
American Energy Initiative - Positive,3141294919,"The American Energy Initiative, Part 4:  H.R.__, the Jobs and Energy Permitting Act of 2011",2011-04-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141294919
U.S. Government - Neutral,3141294948,Economic and International Issues in Global Warming Policy,2007-07-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141294948
U.S. Government - Neutral,3141294981,Empowering Consumers and Promoting Innovation Through the Smart Grid,2011-09-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141294981
U.S. Government - Neutral,3141295001,Domestic and Global Water [Supply] Issues,2011-12-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295001
U.S. House of Representatives Committee on Natural Resources; positive sentiment.,3141295007,Gulf of Mexico:  A Focus on Community Recovery and New Response Technology,2011-04-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295007
U.S. Government - Neutral,3141295021,Wildfire Management,2011-06-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295021
"U.S. House of Representatives Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs - Neutral",3141295107,Why We Should Care About Bats:  Devastating Impact White-Nose Syndrome Is Having on One of Nature's Best Pest Controllers,2011-06-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295107
"U.S. House of Representatives Subcommittee on Water Power, positive sentiment.",3141295176,Protecting Federal Hydropower Investments in the West:  A Stakeholders' Perspective,2011-05-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295176
Bureau of Land Management / U.S. Forest Service; negative sentiment,3141295190,Challenges Facing Domestic Oil and Gas Development:  Review of Bureau of Land Management/U.S. Forest Service Ban on Horizontal Drilling on Federal Lands,2011-07-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295190
U.S. Government - Neutral,3141295212,Preparing for Climate Change:  Adaptation Policies and Programs,2009-03-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295212
Navajo Generating Station; negative sentiment,3141295328,Protecting Long-Term Tribal Energy Jobs and Keeping Arizona Water and Power Costs Affordable:  The Current and Future Role of the Navajo Generating Station,2011-05-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295328
U.S. House of Representatives Subcommittee on Energy and Mineral Resources; sentiment: critical of current policies hindering oil shale development.,3141295344,"American Jobs and Energy Security:  Domestic Oil Shale--The Status of Research, Regulation and Roadblocks",2011-08-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295344
Nuclear Regulatory Commission (NRC) - Neutral,3141295349,NRC Repository Safety Division:  Staff Perspective on Yucca License Review,2011-06-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295349
U.S. Government - Neutral,3141295357,Meeting America's Wastewater Infrastructure Needs in the 21st Century,2007-09-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295357
U.S. Government - Positive,3141295367,Food Safety Enhancement Act of 2009 Discussion Draft,2009-06-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295367
U.S. Government - Neutral,3141295370,The Role of Offsets in Climate Legislation,2009-03-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295370
"U.S. Senate Subcommittee on Oceans, Atmosphere, Fisheries, and Coast Guard - Neutral",3141295375,Impacts of the Atlantic Large Whale Take Reduction Plan on Maine's Lobster Fishery,2008-02-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295375
U.S. Government - Neutral,3141295379,"H.R. 3258, the Drinking Water System Security Act of 2009, and H.R. 2868, the Chemical Facility Anti-Terrorism Act of 2009",2009-10-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295379
U.S. Government - Neutral,3141295388,Opportunities for Specialty Crops and Organics in the Farm Bill,2011-07-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295388
U.S. House of Representatives Subcommittee on Indian and Alaska Native Affairs - Neutral,3141295396,"H.R. 1158, To Authorize Conveyance of Mineral Rights by the Secretary of Interior in the State of Montana; &amp; H.R. 1560, To Amend the Ysleta Del Sur Pueblo and Alabama and Coushatta Indian Tribes of Texas Restoration Act",2011-06-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295396
U.S. House of Representatives Subcommittee on Energy and Mineral Resources; sentiment: neutral,3141295450,Strategic and Critical Minerals Policy:  Domestic Minerals Supplies and Demands in a Time of Foreign Supply Disruptions,2011-05-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295450
Department of Energy - Negative,3141295459,Oversight of Department of Energy Recovery Act Spending,2011-03-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295459
U.S. Government - Neutral,3141295466,Carbon Sequestration Technologies,2007-11-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295466
U.S. Fish and Wildlife Service - Negative sentiment about its operations and maintenance backlog.,3141295478,Buying More Land When We Can't Maintain What We Already Own:  The National Wildlife Refuge System's Operations &amp; Maintenance Backlog Story!,2011-05-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295478
U.S. Government - Neutral,3141295521,Energy Efficiency Technologies and Programs,2007-06-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295521
U.S. Fish and Wildlife Service; mixed sentiment,3141295544,A Perspective on the Endangered Species Act's Impacts on the Oil and Gas Industry,2007-08-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295544
U.S. Government - Neutral,3141295565,Advancing Coal Research and Development for a Secure Energy Future,2011-10-13,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295565
U.S. House of Representatives - Neutral,3141295654,Creating Jobs by Overcoming Manmade Drought:  Time for Congress To Listen and Act,2011-04-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295654
U.S. Government - Neutral,3141295659,Keeping America's Families Safe:  Reforming the Food Safety System,2009-10-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295659
U.S. Environmental Protection Agency (EPA) - Neutral,3141295712,Integrated Planning and Permitting:  An Opportunity for EPA To Provide Communities with Flexibility To Make Smart Investments in Water Quality,2011-12-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295712
Committee Agriculture Nutrition Forestry - Positive,3141295733,Growing Jobs in Rural America,2011-07-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295733
U.S. House of Representatives - Negative sentiment,3141295740,Jobs at Risk:  Waste and Mismanagement by the Obama Administration in Rewriting the Stream Buffer Zone Rule,2011-11-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295740
U.S. Department of Labor's Veterans Employment Training Service; positive sentiment about its importance in addressing veteran unemployment.,3141295775,Veterans' Employment and Training Service's Budget and State Grant Program,2011-03-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295775
U.S. Government - Neutral,3141295787,Revisiting the Toxic Substances Control Act of 1976,2009-02-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295787
U.S. Environmental Protection Agency (EPA) - Mixed sentiment (concerns about delays and regulatory actions).,3141295853,Examining the Case for the California Waiver:  An Update from EPA,2007-07-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295853
U.S. Environmental Protection Agency (EPA) - Negative sentiment,3141295876,Hearing To Review the Impact of EPA Regulation on Agriculture,2011-03-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295876
U.S. Government - Neutral,3141295879,The U.S. Government Response to the Nuclear Power Plant Incident in Japan,2011-04-06,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295879
U.S. Senate Committee on Energy and Natural Resources - Positive sentiment.,3141295899,Marcellus Shale Gas,2011-11-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295899
U.S. Environmental Protection Agency (EPA) - Negative sentiment,3141295911,Running Roughshod over States and Stakeholders:  EPA's Nutrients Policies,2011-06-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295911
U.S. House of Representatives - Neutral,3141295919,Giant Salvinia:  How Do We Protect Our Ecosystems?,2011-06-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295919
U.S. Government - Neutral,3141295921,Consumer Protection Provisions in Climate Legislation,2009-03-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295921
"U.S. House of Representatives Committee on Science, Space, and Technology - Neutral",3141295945,Federal Perspective on a National Critical Materials Strategy,2011-06-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295945
U.S. Government - Mixed sentiment (job killer/job creator),3141295947,EPA's Appalachian Energy Permitorium:  Job Killer or Job Creator?,2011-07-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295947
U.S. Environmental Protection Agency (EPA) - Positive sentiment,3141295948,Review of EPA's Proposed Revision to the Ozone NAAQS,2007-07-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295948
U.S. Government - Neutral,3141295949,Coal Gasification Technologies and the Need for Large Scale Projects,2008-04-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295949
U.S. Government - Neutral,3141295960,The Wind River Irrigation Project--Issues Arising from and Contributing to Deferred Maintenance and Other Project Management Problems,2011-04-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295960
U.S. House of Representatives - Neutral,3141295974,"H.R. 200, ""Inland Empire Perchlorate Ground Water Plume Assessment Act of 2011""; and H.R. 2842, ""Bureau of Reclamation Small Conduit Hydropower Development and Rural Jobs Act of 2011""",2011-09-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141295974
NOAA - Negative,3141296011,NOAA's Fishery Science:  Is the Lack of Basic Science Costing Jobs?,2011-07-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296011
Chesapeake Bay TMDL; mixed sentiment (concerns about costs and impacts on rural communities).,3141296016,Hearing To Review the Implementation of Phase II of the Chesapeake Bay TMDL Watershed Implementation Plans and Their Impacts on Rural Communities,2011-11-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296016
Environmental Protection Agency (EPA) - Negative sentiment,3141296034,EPA Mining Policies:  Assault on Appalachian Jobs--Part I,2011-05-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296034
U.S. House of Representatives Committee on Natural Resources; sentiment is neutral.,3141296127,State Perspectives on Offshore Revenue Sharing,2011-07-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296127
U.S. Government - Neutral,3141296129,The Missouri River Flood:  An Assessment of the River Management in 2011 and Operational Plans for the Future,2011-11-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296129
U.S. Government - Neutral,3141296148,Regulation of Bottled Water,2009-07-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296148
U.S. Government - Neutral,3141296175,"The American Energy Initiative, Part 5:  Recent E.P.A. Rulemakings Relating to Boilers, Cement Manufacturing Plants, and Utilities",2011-04-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296175
U.S. Government - Neutral,3141296190,Assessing the Cumulative Impact of Regulation on U.S. Manufacturers,2011-03-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296190
U.S. Government - Neutral,3141296191,Railroad and Hazardous Materials Transportation Programs:  Reforms and Improvements To Reduce Regulatory Burdens,2011-04-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296191
U.S. Forest Service - Positive sentiment,3141296198,U.S. Forest Service Land Management:  Challenges and Opportunities for Achieving Healthier National Forests,2012-03-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296198
U.S. Government - Neutral,3141296201,Production over Protections:  A Review of Process Safety Management in the Oil and Gas Industry,2010-06-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296201
U.S. Government - Neutral,3141296229,Price Gouging,2006-05-23,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296229
U.S. Government - Neutral,3141296231,Hydraulic Fracturing of Shale Beds:  Ensuring Regulatory Approaches That Will Help Protect Jobs and Domestic Energy Production,2011-11-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296231
U.S. Environmental Protection Agency (EPA) - Mixed sentiment (concerns about regulations vs. public health benefits).,3141296250,Lights Out II:  Should EPA Take a Step Back To Fully Consider Utility MACT's Impact on Job Creation,2011-11-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296250
U.S. Government - Negative sentiment,3141296260,The Green Energy Debacle:  Where Has All the Taxpayer Money Gone?,2011-11-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296260
Environmental Protection Agency (EPA) - Neutral,3141296270,The Fiscal Year 2012 EPA Budget,2011-03-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296270
U.S. Government - Neutral,3141296272,"H.R. 2250, the EPA Regulatory Relief Act of 2011, and H.R. 2681, the Cement Sector Regulatory Relief Act of 2011",2011-09-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296272
Environmental Protection Agency (EPA) - Neutral,3141296292,Fostering Quality Science at EPA:  The Need for Common Sense Reform,2011-11-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296292
U.S. Government - Negative,3141296320,How Obama's Green Energy Agenda Is Killing Jobs,2011-09-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296320
"U.S. Senate Committee on Agriculture, Nutrition, and Forestry - Neutral",3141296330,Fundamentals and Farming:  Evaluating High Gas Prices and How New Rules and Innovative Farming Can Help,2011-03-30,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296330
"Nuclear Regulatory Commission, negative sentiment",3141296332,The NRC Inspector General Report on the NRC Chairman's Unilateral Decision To Terminate NRC's Review of the DOE Yucca Mountain Repository License Application,2011-06-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296332
U.S. House of Representatives Committee on Ways and Means - Neutral,3141296335,Energy Tax Policy and Tax Reform,2011-09-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296335
"U.S. House of Representatives Subcommittee on Water Power, Natural Resources - Negative sentiment.",3141296344,Questionable Fish Science and Environmental Lawsuits:  Jobs and Water Supplies at Risk in the Inland Empire,2011-10-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296344
U.S. Government - Neutral,3141296361,How Do We Fix Our Ailing Food Safety System?,2009-03-11,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296361
Nuclear Regulatory Commission; neutral,3141296371,The Fiscal Year 2012:  Department of Energy and Nuclear Regulatory Commission Budgets,2011-03-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296371
"U.S. Senate Committee on Health, Education, Labor, and Pensions - Neutral",3141296380,Evaluating the Health Impacts of the Gulf of Mexico Oil Spill,2010-06-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296380
"U.S. Senate Committee on Commerce, Science, and Transportation - Positive sentiment.",3141296408,Effects of Climate Change on Marine and Coastal Ecosystems in Washington State,2008-05-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296408
U.S. Government - Neutral,3141296672,Smart Grid Architecture and Standards:  Assessing Coordination and Progress,2010-07-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296672
Advanced Research Projects Agency-Energy (ARPA-E) - Positive sentiment,3141296838,The Advanced Research Projects Agency-Energy (ARPA-E):  Assessing the Agency's Progress and Promise in Transforming the U.S. Energy Innovation System,2010-01-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296838
Department of Energy - Neutral,3141296861,The Department of Energy Fiscal Year 2011 Research and Development Budget Proposal,2010-03-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296861
"U.S. House of Representatives Committee on Science, Space, and Technology - Neutral",3141296880,"A Rational Discussion of Climate Change:  The Science, the Evidence, the Response",2010-11-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296880
Environmental Protection Agency (EPA) - Neutral,3141296921,Fiscal Year 2011 Research and Development Budget Proposals at the Environmental Protection Agency (EPA) and the National Oceanic and Atmospheric Administration (NOAA),2010-03-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141296921
U.S. Government - Neutral,3141297041,Rare Earth Minerals and 21st Century Industry,2010-03-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297041
U.S. Department of Energy; neutral,3141297074,Charting the Course for American Nuclear Technology:  Evaluating the Department of Energy's Nuclear Energy Research and Development Roadmap,2010-05-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297074
Department of Energy; neutral,3141297195,The Protective Forces at the Department of Energy,2010-03-03,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297195
U.S. Government - Neutral,3141297238,Cutting the Federal Government's Energy Bill:  An Examination of the Sustainable Federal Government Executive Order,2010-01-27,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297238
U.S. House of Representatives Committee on Science and Technology - Neutral,3141297294,Options and Opportunities for Onsite Renewable Energy Integration,2010-11-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297294
U.S. Environmental Protection Agency; negative sentiment about its efforts to reduce mercury pollution from dental offices.,3141297388,Assessing EPA's Efforts To Measure and Reduce Mercury Pollution from Dentist Offices,2010-05-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297388
Select Committee on Energy Independence and Global Warming - Neutral,3141297389,Green Capital:  Seeding Innovation and the Future Economy,2008-04-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297389
U.S. Government - Neutral,3141297397,Assessing the Implementation and Impacts of the Clean Truck Programs at the Port of Los Angeles and the Port of Long Beach,2010-05-05,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297397
U.S. Government - Neutral,3141297409,Wind Farms:  Compatible with Military Readiness?,2010-06-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297409
Select Committee on Energy Independence and Global Warming - Neutral,3141297411,The Administration's View on the State of Climate Science,2009-12-02,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297411
Select Committee on Energy Independence and Global Warming - Positive,3141297446,Get Smart on the Smart Grid:  How Technology Can Revolutionize Efficiency and Renewable Solutions,2009-02-25,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297446
U.S. Government - Neutral,3141297447,"Review of the Use of Dispersants in Response to the Deepwater Horizon Oil Spill,  Special Hearing",2010-07-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297447
U.S. Department of Transportation; mixed sentiment regarding oversight and safety management.,3141297469,Department of Transportation's Oversight and Management of Hazardous Materials Special Permits and Approvals,2010-04-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297469
U.S. Government - Neutral,3141297483,The Safety of Hazardous Liquid Pipelines:  Regulated vs. Unregulated Pipelines,2010-06-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297483
Select Committee on Energy Independence and Global Warming - Neutral,3141297484,Building U.S. Resilience to Global Warming Impacts,2009-10-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297484
U.S. Government - Neutral,3141297511,Reauthorization of the Magnuson-Stevens Fishery Conservation and Management Act,2005-11-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297511
Select Committee on Energy Independence and Global Warming - Positive,3141297514,State Leadership Towards a Low-Carbon Energy Future,2007-11-14,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297514
Select Committee on Energy Independence and Global Warming - Neutral,3141297547,Energy and Global Warming Solutions for Vulnerable Communities,2007-10-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297547
U.S. Government - Neutral,3141297548,Putting America Back to Work Through Clean Water Infrastructure Investment,2010-07-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297548
Select Committee on Energy Independence and Global Warming - Neutral,3141297549,The Future of Coal Under Carbon Cap and Trade,2007-09-06,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297549
Select Committee on Energy Independence and Global Warming - Neutral,3141297554,Oil Shock:  Potential for Crisis,2007-11-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297554
Minerals Management Service; neutral,3141297559,The Deepwater Horizon Incident:  Are the Minerals Management Service Regulations Doing the Job?,2010-06-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297559
Select Committee on Energy Independence and Global Warming; positive sentiment.,3141297569,Climate for Innovation:  Technology and Intellectual Property in Global Climate Solutions,2009-07-29,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297569
U.S. Government - Neutral,3141297578,Opportunities and Challenges in the Creation of a Clean Water Trust Fund,2009-07-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297578
U.S. Government - Neutral,3141297579,Carbon Capture and Sequestration Legislation,2010-04-20,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297579
Pechanga Band Luiseno Indians - Positive sentiment,3141297594,"S. 2956, the Pechanga Band of Luiseno Mission Indians Water Rights Settlement Act, and S. 3290, the Blackfeet Water Rights Settlement Act of 2010",2010-07-22,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297594
Pacific Salmon Stronghold Conservation Act - Positive,3141297603,"S. 817, the Pacific Salmon Stronghold Conservation Act",2010-04-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297603
Select Committee on Energy Independence and Global Warming - Positive,3141297618,New Technologies:  What's Around the Corner?,2009-07-28,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297618
Select Committee on Energy Independence and Global Warming; neutral,3141297644,Roadmap to Copenhagen:  Driving Toward Success,2009-09-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297644
U.S. Department of Energy; positive sentiment,3141297681,DOE Budget for Fiscal Year 2011,2010-02-04,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297681
"U.S. Senate Committee on Commerce, Science, and Transportation - Neutral",3141297685,Climate Change--Greenhouse Gas Reductions and Trading System,2003-01-08,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297685
Select Committee on Energy Independence and Global Warming - Positive,3141297691,Business Opportunities in a Low-Carbon Energy Economy,2007-10-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297691
National Park Service - Positive sentiment,3141297695,National Parks Bills,2010-03-17,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297695
Select Committee on Energy Independence and Global Warming - Neutral,3141297715,Geopolitical Implications of Rising Oil Dependence and Global Warming,2007-04-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297715
Select Committee on Energy Independence and Global Warming - Neutral,3141297738,Plugging into Energy Independence with 150 MPG Vehicles,2007-07-12,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297738
SELECT COMMITTEE ENERGY INDEPENDENCE GLOBAL WARMING - Neutral,3141297753,The Green Road to Economic Recovery,2008-09-18,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297753
Select Committee on Energy Independence and Global Warming - Positive,3141297756,Green Cities:  Mayoral Initiatives To Reduce Global Warming Pollution,2007-06-19,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297756
U.S. Government - Neutral,3141297765,Public Lands and Forests Legislation,2010-06-16,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297765
U.S. Environmental Protection Agency (EPA) - Negative sentiment,3141297766,President's Proposed EPA Budget for Fiscal Year 2008,2007-03-07,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297766
U.S. Department of Defense; positive sentiment about energy initiatives.,3141297773,Energy Management and Initiatives on Military Installations,2010-02-24,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297773
"U.S. Senate Committee on Agriculture, Nutrition, and Forestry - Neutral",3141297790,Expanding the Role of Biofuels for America,2009-09-01,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297790
Select Committee on Energy Independence and Global Warming - Neutral,3141297794,Dangerous Climate Change,2007-04-26,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297794
U.S. Government - Positive,3141297803,Vice President Al Gore's Perspective on Global Warming,2007-03-21,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297803
Select Committee on Energy Independence and Global Warming - neutral,3141297817,Reinvigorating the Economy Through Stimulus Legislation:  Opportunities for All,2009-01-15,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297817
U.S. Government - Neutral,3141297825,Reforming Corporate Average Fuel Economy (CAFE) Standards,2006-05-09,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297825
Select Committee on Energy Independence and Global Warming - Positive,3141297840,Investing in the Future:  R&amp;D Needs To Meet America's Energy and Climate Challenges,2008-09-10,Undefined,,7047208,Congressional Hearings Data for TDM,,,,https://www.proquest.com/docview/3141297840
